Bewertung,Überschrift,ort,Ortlink,beschreibung,bild (pfart),alt,abteil
sgut,SASS & PHP,elaax,elaax.de,Diese Karte ist entwickelt worden bei Elaax mit Html PHP und Scss (Sass),testbild.jpg,Karte Elaax,1
sgut5,test1,x,elaax.de,Diese Karte ist entwickelt worden bei Elaax mit Html PHP und Scss (Sass),testbild.jpg,tesla,2
bef,test2,y,elaax.de,Diese Karte ist entwickelt worden bei Elaax mit Html PHP und Scss (Sass),testbild.jpg,test,3
bef5,test3,z,elaax.de,Diese Karte ist entwickelt worden bei Elaax mit Html PHP und Scss (Sass),testbild.jpg,Karte Elaax,4
bef5,test3,z,elaax.de,Diese Karte ist entwickelt worden bei Elaax mit Html PHP und Scss (Sass),testbild.jpg,Karte Elaax,1
bef5,test2021,z,elaax.de,Diese Karte ist entwickelt worden bei Elaax mit Html PHP und Scss (Sass),testbild.jpg,Karte Elaax,2
scheisse,test4039,z,elaax.de,Diese Karte ist entwickelt worden bei Elaax mit Html PHP und Scss (Sass),testbild.jpg,Karte Elaax,3
nausr5,test6057,z,elaax.de,Diese Karte ist entwickelt worden bei Elaax mit Html PHP und Scss (Sass),testbild.jpg,Karte Elaax,
nausr,test8075,z,elaax.de,Diese Karte ist entwickelt worden bei Elaax mit Html PHP und Scss (Sass),testbild.jpg,Karte Elaax,
ausr5,test10093,z,elaax.de,Diese Karte ist entwickelt worden bei Elaax mit Html PHP und Scss (Sass),testbild.jpg,Karte Elaax,
ausr,test12111,z,elaax.de,Diese Karte ist entwickelt worden bei Elaax mit Html PHP und Scss (Sass),testbild.jpg,Karte Elaax,
